No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
63,ISRG,"Intuitive Surgical, Inc.",140190515200,397.90,3.19%,7124100000
64,PM,Philip Morris International Inc.,139457495040,89.83,-0.14%,35174000000
65,SPGI,S&P Global Inc.,135286005760,429.01,0.15%,12497000000
66,COP,Conoco Phillips,134393077760,114.24,1.51%,58574000000
67,SYK,Stryker Corporation,134316851200,353.22,1.19%,20498000000
68,HON,Honeywell International Inc.,129568997376,198.67,-0.03%,36662000000
69,LRCX,Lam Research Corporation,128681533440,981.53,4.61%,14317147000
70,GS,"The Goldman Sachs Group, Inc.",126351007744,388.10,-0.24%,46254000000
71,UPS,"United Parcel Service, Inc.",126243799040,148.06,-0.13%,90958000000
72,PLD,"Prologis, Inc.",124488990720,134.60,1.00%,8023469000
73,BA,The Boeing Company,122026991616,200.01,-1.82%,77794000000
74,T,AT&T Inc.,121454370816,16.98,0.30%,122428000000
75,BLK,"BlackRock, Inc.",121362415616,814.83,0.43%,17859000000
76,SCHW,The Charles Schwab Corporation,121265881088,66.47,-0.46%,18837000000
77,BKNG,Booking Holdings Inc.,119589273600,3499.73,0.89%,21365000000
78,RTX,RTX Corp,119149330432,89.80,0.14%,68920000000
79,ETN,Eaton Corporation plc,117274411008,293.70,1.63%,23196000000
80,ELV,Elevance Health Inc.,116127416320,499.11,-0.43%,171340000000
81,NEE,"NextEra Energy, Inc.",113314652160,55.21,0.04%,28114000000
82,TJX,"The TJX Companies, Inc.",112269877248,98.51,-0.64%,52326232000
83,VRTX,Vertex Pharmaceuticals Incorporated,111785369600,432.76,2.86%,9869200000
84,MDT,Medtronic plc,111005753344,83.60,0.29%,32320000000
85,PGR,The Progressive Corporation,110007713792,187.83,-0.91%,62108500000
86,REGN,"Regeneron Pharmaceuticals, Inc.",107876286464,982.82,1.73%,13117200000
87,C,Citigroup Inc.,106272169984,55.60,0.20%,78462000000
88,SBUX,Starbucks Corporation,105477619712,93.16,-1.83%,36687000000
89,MU,"Micron Technology, Inc.",105037037568,95.15,5.01%,16181000000
90,LMT,Lockheed Martin Corporation,103051075584,426.46,-0.42%,67571000000
91,DE,Deere & Company,102994329600,367.85,0.77%,60785000000
92,BMY,Bristol-Myers Squibb Company,102909247488,50.89,0.28%,45006000000
93,ADP,"Automatic Data Processing, Inc.",102570409984,249.69,-0.57%,18586000000
94,ABNB,"Airbnb, Inc.",101879799808,159.78,1.46%,9917000000
95,CB,Chubb Limited,101691318272,250.62,-0.42%,49735000000
96,MMC,"Marsh & McLennan Companies, Inc.",99314515968,202.00,-0.13%,22736000000
97,BSX,Boston Scientific Corporation,98486419456,67.13,1.39%,14240000000
98,PANW,"Palo Alto Networks, Inc.",97705435136,302.40,-2.62%,7527400000
99,MDLZ,"Mondelez International, Inc.",97444757504,72.37,-0.96%,36016000000
100,CI,Cigna Corporation,97392132096,332.96,-0.95%,195265000000
101,ADI,"Analog Devices, Inc.",97277313024,196.16,2.26%,11568613000
102,KLAC,KLA Corporation,97039859712,717.57,5.17%,9671427000
103,AMT,American Tower Corporation,94053449728,201.76,1.46%,11144200000
104,CVS,CVS Health Corporation,92923944960,73.84,-0.71%,357776000000
105,SNPS,"Synopsys, Inc.",90206887936,591.35,3.07%,6130509000
106,GILD,"Gilead Sciences, Inc.",90081624064,72.31,0.29%,27116000000
107,ANET,"Arista Networks, Inc.",89957302272,287.74,3.68%,5860168000
108,FI,"Fiserv, Inc.",88767094784,150.35,0.72%,19093000000
109,ZTS,Zoetis Inc.,87370186752,190.82,-3.79%,8544000000
110,CDNS,"Cadence Design Systems, Inc.",85820620800,315.24,3.57%,4089986000
111,SHW,The Sherwin-Williams Company,85304303616,335.23,0.96%,23051900000
112,EQIX,"Equinix, Inc.",85209415680,900.53,1.32%,8188136000
113,WM,"Waste Management, Inc.",82644852736,205.81,0.08%,20426000000
114,HCA,"HCA Healthcare, Inc.",82518401024,311.98,0.09%,64968000000
115,ICE,"Intercontinental Exchange, Inc.",79347400704,138.57,0.11%,9903000000
116,CME,CME Group Inc.,78914068480,219.21,-0.52%,5578900000
117,ITW,Illinois Tool Works Inc.,77744775168,260.19,-0.75%,16107000000
118,CSX,CSX Corporation,74897539072,38.23,0.76%,14657000000
119,GD,General Dynamics Corporation,74508861440,271.95,-0.48%,42272000000
120,CMG,"Chipotle Mexican Grill, Inc.",73729572864,2688.78,,9871649000
121,SO,The Southern Company,72945598464,66.85,-0.59%,25253000000
122,MAR,"Marriott International, Inc.",72371249152,250.00,0.05%,23713000000
123,MO,"Altria Group, Inc.",72054972416,40.86,-0.12%,24483000000
124,TGT,Target Corporation,71691493376,155.29,1.55%,106888000000
125,CL,Colgate-Palmolive Company,71194329088,86.49,-0.03%,19457000000
126,SLB,Schlumberger Limited,70737592320,49.35,2.11%,33135000000
127,DUK,Duke Energy Corporation,70035890176,90.86,-1.06%,29060000000
128,MCO,Moody's Corporation,69531279360,382.04,0.69%,5916000000
129,MCK,McKesson Corporation,69104836608,525.88,0.86%,301506000000
130,PH,Parker-Hannifin Corporation,69059436544,537.80,0.44%,19826043000
131,NOC,Northrop Grumman Corporation,68251373568,454.90,-1.33%,39290000000
132,BDX,"Becton, Dickinson and Company",67981533184,235.28,-0.11%,19492000000
133,EOG,"EOG Resources, Inc.",67338227712,116.10,1.43%,24186000000
134,APH,Amphenol Corporation,66469928960,110.81,1.44%,12554700000
135,NXPI,NXP Semiconductors N.V.,66040762368,257.51,3.12%,13276000000
136,TDG,TransDigm Group Incorporated,65797267456,1183.27,0.47%,6977000000
137,TT,Trane Technologies plc,64938053632,285.98,1.42%,17677600000
138,PYPL,"PayPal Holdings, Inc.",64883142656,60.54,0.33%,29771000000
139,USB,U.S. Bancorp,64537743360,41.42,-1.29%,25738000000
140,ECL,Ecolab Inc.,64386031616,225.51,0.30%,15320200000
141,ORLY,"O'Reilly Automotive, Inc.",64120569856,1085.45,-0.18%,15812250000
142,MPC,Marathon Petroleum Corporation,63741284352,173.21,2.35%,150307000000
143,CTAS,Cintas Corporation,63697481728,628.36,-0.04%,9193964000
144,AON,Aon plc,62311182336,314.23,-0.56%,13376000000
145,EMR,Emerson Electric Co.,61823635456,108.12,1.19%,15909000000
146,PSX,Phillips 66,61692219392,144.20,1.19%,149890000000
147,FDX,FedEx Corporation,61623611392,246.60,-0.95%,87945000000
148,MNST,Monster Beverage Corporation,61570764800,58.79,-0.52%,7140027000
149,PCAR,PACCAR Inc,59298430976,113.19,2.07%,35127400000
150,PNC,"The PNC Financial Services Group, Inc.",58800001024,147.81,0.41%,21490000000
151,ROP,"Roper Technologies, Inc.",58643775488,547.96,0.59%,6177800000
152,NSC,Norfolk Southern Corporation,58162352128,257.49,1.62%,12156000000
153,LULU,Lululemon Athletica Inc.,57858572288,458.50,-1.84%,9186013000
154,RSG,"Republic Services, Inc.",57779937280,183.64,0.02%,14964500000
155,ADSK,"Autodesk, Inc.",56631857152,264.74,2.54%,5381000000
156,SPG,"Simon Property Group, Inc.",56386867200,150.44,1.55%,5658836000
157,MSI,"Motorola Solutions, Inc.",55747588096,335.56,1.56%,9978000000
158,PXD,Pioneer Natural Resources Company,55431733248,237.27,1.99%,19362000000
159,FCX,Freeport-McMoRan Inc.,54407172096,37.93,0.32%,22855000000
160,OXY,Occidental Petroleum Corporation,53966061568,61.36,1.24%,28918000000
161,CEG,Constellation Energy Corporation,53830225920,169.96,0.90%,24918000000
162,FTNT,"Fortinet, Inc.",53747904512,70.44,1.92%,5304800000
163,EL,The Estée Lauder Companies Inc.,53351534592,148.90,0.22%,15157000000
164,AJG,Arthur J. Gallagher & Co.,52799471616,243.93,,10071900000
165,WELL,Welltower Inc.,52746371072,92.72,0.61%,6637995000
166,AZO,"AutoZone, Inc.",52559056896,3035.99,1.00%,17662418000
167,APD,"Air Products and Chemicals, Inc.",52463034368,236.00,0.84%,12422700000
168,COF,Capital One Financial Corporation,52023615488,136.77,-0.61%,26361000000
169,HLT,Hilton Worldwide Holdings Inc.,51662745600,204.88,0.27%,10235000000
170,CPRT,"Copart, Inc.",51515138048,53.58,0.81%,4059987000
171,EW,Edwards Lifesciences Corporation,51242782720,85.22,0.41%,6004800000
172,MMM,3M Company,50771025920,91.86,-0.28%,32681000000
173,DHI,"D.R. Horton, Inc.",50758045696,152.97,2.36%,35928500000
174,CARR,Carrier Global Corporation,50721632256,56.46,1.58%,22098000000
175,MET,"MetLife, Inc.",50416189440,69.73,-0.01%,66905000000
176,ROST,"Ross Stores, Inc.",50375331840,149.63,0.45%,19568671000
177,TRV,"The Travelers Companies, Inc.",50137354240,218.82,-0.97%,41364000000
178,PSA,Public Storage,49900654592,283.24,-0.22%,4517690000
179,AIG,"American International Group, Inc.",49600684032,72.84,-0.07%,46802000000
180,F,Ford Motor Company,49471692800,12.45,0.08%,176191000000
181,ODFL,"Old Dominion Freight Line, Inc.",48354103296,444.28,0.41%,5866152000
182,GWW,"W.W. Grainger, Inc.",48234188800,980.87,0.76%,16478000000
183,CCI,Crown Castle Inc.,48223916032,111.06,1.02%,6981000000
184,DLR,"Digital Realty Trust, Inc.",48002699264,150.60,2.58%,5477061000
185,IDXX,"IDEXX Laboratories, Inc.",47931781120,576.87,0.29%,3660953000
186,VLO,Valero Energy Corporation,47638020096,143.28,1.29%,144766000000
187,GM,General Motors Company,47320084480,40.99,0.02%,171842000000
188,URI,"United Rentals, Inc.",47073763328,700.59,1.06%,14332000000
189,TFC,Truist Financial Corporation,47055527936,35.26,0.80%,21281000000
190,MCHP,Microchip Technology Incorporated,47013752832,87.00,3.40%,8541300000
191,DXCM,"DexCom, Inc.",46932594688,121.74,5.80%,3622300000
192,AFL,Aflac Incorporated,46408753152,80.43,-0.38%,18701000000
193,IQV,IQVIA Holdings Inc.,45949431808,252.45,2.14%,14984000000
194,NUE,Nucor Corporation,45910069248,190.70,-0.83%,34713501000
195,STZ,"Constellation Brands, Inc.",45704998912,249.91,0.56%,9820400000
196,HES,Hess Corporation,45516857344,148.19,1.67%,10645000000
197,O,Realty Income Corporation,44985118720,52.24,0.25%,4078993000
198,LEN,Lennar Corporation,44957806592,161.48,1.87%,34233366000
199,MSCI,MSCI Inc.,44724490240,565.48,0.80%,2528920000
200,AEP,"American Electric Power Company, Inc.",44720459776,84.99,-0.23%,18982300000
201,TEL,TE Connectivity Ltd.,44386770944,143.74,0.13%,16024000000
202,WMB,"The Williams Companies, Inc.",44289699840,36.41,1.31%,10907000000
203,SRE,Sempra,44168323072,69.87,-1.03%,16720000000
204,PAYX,"Paychex, Inc.",43981045760,122.23,-0.32%,5154500000
205,OKE,"ONEOK, Inc.",43812732928,75.13,0.01%,17677000000
206,PCG,PG&E Corporation,43348742144,16.60,-0.54%,24428000000
207,KHC,The Kraft Heinz Company,42652598272,35.11,-0.48%,26640000000
208,CHTR,"Charter Communications, Inc.",42574159872,293.16,-0.26%,54607000000
209,HUM,Humana Inc.,42473476096,352.03,0.49%,106374000000
210,GEHC,GE HealthCare Technologies Inc.,42330030080,92.72,1.58%,19552000000
211,BK,The Bank of New York Mellon Corporation,42135998464,55.49,-1.07%,17502000000
212,AME,"AMETEK, Inc.",41739423744,180.68,0.28%,6596950000
213,CNC,Centene Corporation,41708617728,77.98,-0.57%,153999000000
214,FAST,Fastenal Company,41681453056,72.84,-0.23%,7346700000
215,KMB,Kimberly-Clark Corporation,41402920960,122.90,1.43%,20431000000
216,AMP,"Ameriprise Financial, Inc.",41178480640,410.59,0.79%,15535000000
217,JCI,Johnson Controls International plc,40971599872,60.12,1.43%,26819000000
218,ALL,The Allstate Corporation,40814845952,155.15,-2.18%,57094000000
219,A,"Agilent Technologies, Inc.",40750415872,139.06,1.24%,6735000000
220,KDP,Keurig Dr Pepper Inc.,40628637696,29.28,-2.11%,14814000000
221,FIS,"Fidelity National Information Services, Inc.",39897210880,69.21,0.03%,9821000000
222,LHX,"L3Harris Technologies, Inc.",39886557184,209.81,-0.87%,19419000000
223,SYY,Sysco Corporation,39806488576,79.99,-1.22%,77512288000
224,DOW,Dow Inc.,39166881792,55.77,-0.20%,44622000000
225,CTSH,Cognizant Technology Solutions Corporation,39135358976,78.61,-0.52%,19353000000
226,PRU,"Prudential Financial, Inc.",38798921728,108.01,-0.90%,53979000000
227,OTIS,Otis Worldwide Corporation,38793936896,95.68,0.40%,14209000000
228,KMI,"Kinder Morgan, Inc.",38750199808,17.46,0.40%,15334000000
229,YUM,"Yum! Brands, Inc.",38661193728,137.42,-0.72%,7076000000
230,LVS,Las Vegas Sands Corp.,38645682176,51.28,-5.94%,10372000000
231,COR,Cencora,38515761152,237.02,0.60%,271579412000
232,HSY,The Hershey Company,38352797696,188.05,0.07%,11164992000
233,CMI,Cummins Inc.,38338273280,270.24,0.61%,34065000000
234,CTVA,"Corteva, Inc.",37657673728,53.66,0.26%,17226000000
235,EA,Electronic Arts Inc.,37640204288,140.79,0.94%,7657000000
236,D,"Dominion Energy, Inc.",37509074944,44.79,-6.36%,14393000000
237,IR,Ingersoll Rand Inc.,36966838272,91.63,0.33%,6876100000
238,NEM,Newmont Corporation,36810530816,31.94,2.21%,11812000000
239,IT,"Gartner, Inc.",36760309760,471.48,1.27%,5906956000
240,MLM,"Martin Marietta Materials, Inc.",36472184832,589.95,2.25%,6777200000
241,MRNA,"Moderna, Inc.",36319858688,95.06,3.06%,6848000000
242,GIS,"General Mills, Inc.",36310884352,63.94,-0.37%,20200000000
243,CSGP,"CoStar Group, Inc.",36050259968,88.27,1.42%,2455000000
244,KVUE,Kenvue Inc.,36040302592,18.82,-0.95%,15444000000
245,MPWR,"Monolithic Power Systems, Inc.",35720826880,743.75,3.29%,1821072000
246,EXC,Exelon Corporation,35473641472,35.49,0.08%,21727000000
247,KR,The Kroger Co.,35366834176,49.16,-0.91%,147797000000
248,VMC,Vulcan Materials Company,35361464320,267.47,0.78%,7781900000
249,PWR,"Quanta Services, Inc.",35109474304,240.89,-0.26%,20882206000
250,ON,ON Semiconductor Corporation,34673475584,81.14,2.81%,8253000000
251,VRSK,"Verisk Analytics, Inc.",34650193920,241.65,-0.10%,2681400000
252,EFX,Equifax Inc.,33589598208,270.97,-0.96%,5265200000
253,GPN,Global Payments Inc.,33561266176,130.09,0.30%,9654419000
254,CDW,CDW Corporation,33194055680,247.25,0.42%,21376000000
255,ROK,"Rockwell Automation, Inc.",33122816000,289.05,1.39%,9129100000
256,FANG,"Diamondback Energy, Inc.",33043032064,185.17,1.45%,8412000000
257,PPG,"PPG Industries, Inc.",32822779904,139.52,-1.47%,18246000000
258,DG,Dollar General Corporation,32762120192,149.29,2.74%,39036002000
259,ACGL,Arch Capital Group Ltd.,32614742016,87.17,-0.48%,13634000000
260,NDAQ,"Nasdaq, Inc.",32516450304,56.53,0.59%,6064000000
261,DLTR,"Dollar Tree, Inc.",32340920320,148.44,1.20%,29684600000
262,LYB,LyondellBasell Industries N.V.,32273811456,99.45,0.42%,41107000000
263,FICO,Fair Isaac Corporation,32188438528,1295.20,1.99%,1550746000
264,BIIB,Biogen Inc.,32117510144,220.95,1.82%,9835600000
265,RCL,Royal Caribbean Cruises Ltd.,31891329024,124.26,0.74%,13900000000
266,HAL,Halliburton Company,31723235328,35.64,1.63%,23018000000
267,EXR,Extra Space Storage Inc.,31323156480,143.36,1.70%,2560244000
268,PEG,Public Service Enterprise Group Incorporated,31032055808,62.24,-0.26%,11237000000
269,XYL,Xylem Inc.,30910304256,127.94,0.70%,7364000000
270,VICI,VICI Properties Inc.,30842474496,29.58,-1.17%,3611988000
271,DFS,Discover Financial Services,30269550592,120.81,0.09%,9842000000
272,BKR,Baker Hughes Company,30196084736,29.96,1.25%,25506000000
273,FTV,Fortive Corporation,30092183552,85.64,0.60%,6065300000
274,ED,"Consolidated Edison, Inc.",30062827520,87.01,-0.23%,14663000000
275,ANSS,"ANSYS, Inc.",29552984064,339.62,1.63%,2269949000
276,DD,"DuPont de Nemours, Inc.",29047072768,69.56,0.53%,12068000000
277,ADM,Archer-Daniels-Midland Company,28930586624,54.24,2.13%,96896000000
278,HPQ,HP Inc.,28777125888,29.41,3.81%,53111000000
279,BF.B,Brown-Forman Corporation,28716267520,60.37,0.23%,4272000000
280,DVN,Devon Energy Corporation,28440674304,44.39,0.75%,15258000000
281,CBRE,"CBRE Group, Inc.",28423614464,92.98,1.19%,31949000000
282,HIG,"The Hartford Financial Services Group, Inc.",28084707328,94.45,-0.96%,24527000000
283,WTW,Willis Towers Watson PLC,27790796800,271.18,-0.52%,9483000000
284,GLW,Corning Incorporated,27695230976,32.45,0.65%,12588000000
285,CAH,"Cardinal Health, Inc.",27575324672,113.37,1.24%,216148000000
286,XEL,Xcel Energy Inc.,27519080448,49.57,-5.92%,14206000000
287,HWM,Howmet Aerospace Inc.,27490367488,67.00,0.68%,6640000000
288,KEYS,"Keysight Technologies, Inc.",27389843456,157.07,1.80%,5342000000
289,MTD,Mettler-Toledo International Inc.,27242293248,1267.98,1.66%,3788309000
290,TSCO,Tractor Supply Company,27240409088,252.42,-0.75%,14555741000
291,DAL,"Delta Air Lines, Inc.",27122540544,42.16,-0.26%,58048000000
292,ULTA,"Ulta Beauty, Inc.",26707853312,549.98,0.26%,10879778000
293,GRMN,Garmin Ltd.,26355910656,137.45,0.07%,5228252000
294,WST,"West Pharmaceutical Services, Inc.",26293923840,358.72,0.10%,2949800000
295,RMD,ResMed Inc.,25683208192,174.61,0.51%,4504077000
296,TTWO,"Take-Two Interactive Software, Inc.",25645897728,150.34,2.32%,5396400000
297,EIX,Edison International,25590073344,66.55,-2.16%,16338000000
298,ZBH,"Zimmer Biomet Holdings, Inc.",25543213056,124.01,-0.28%,7394200000
299,WY,Weyerhaeuser Company,25467578368,34.91,1.54%,7674000000
300,TROW,"T. Rowe Price Group, Inc.",25380595712,113.48,0.11%,6460500000
301,AVB,"AvalonBay Communities, Inc.",25300332544,178.14,0.63%,2767909000
302,WAB,Westinghouse Air Brake Technologies Corporation,25152278528,142.08,0.56%,9677000000
303,RJF,"Raymond James Financial, Inc.",25097992192,120.07,-0.21%,11846000000
304,EBAY,eBay Inc.,24937949184,48.05,1.63%,10112000000
305,WEC,"WEC Energy Group, Inc.",24736903168,78.39,-0.13%,8893000000
306,NVR,"NVR, Inc.",24559362048,7687.10,0.81%,9314605000
307,CHD,"Church & Dwight Co., Inc.",24445956096,100.28,0.16%,5867900000
308,BLDR,"Builders FirstSource, Inc.",24385560576,199.98,2.46%,17097330000
309,BR,"Broadridge Financial Solutions, Inc.",23994867712,203.74,0.08%,6320800000
310,BRO,"Brown & Brown, Inc.",23933057024,83.74,-0.56%,4257100000
311,IRM,Iron Mountain Incorporated,23683123200,81.03,3.04%,5480289000
312,AXON,"Axon Enterprise, Inc.",23663904768,314.25,2.24%,1563391000
313,PHM,"PulteGroup, Inc.",23588974592,111.21,2.61%,16061578000
314,FITB,Fifth Third Bancorp,23410266112,34.37,0.09%,8193000000
315,DOV,Dover Corporation,23404767232,167.30,1.16%,8438134000
316,AWK,"American Water Works Company, Inc.",23308279808,119.68,0.96%,4234000000
317,EQR,Equity Residential,23054108672,60.74,0.88%,2873964000
318,STE,STERIS plc,23000934400,232.77,-0.06%,5407384000
319,ALGN,"Align Technology, Inc.",22977497088,300.01,-0.80%,3862260000
320,MTB,M&T Bank Corporation,22812491776,136.91,-1.11%,8998000000
321,MOH,"Molina Healthcare, Inc.",22613063680,387.21,-1.70%,34072000000
322,SBAC,SBA Communications Corporation,22505734144,208.29,-0.45%,2711584000
323,PTC,PTC Inc.,22447083520,187.76,2.60%,2181357000
324,LYV,"Live Nation Entertainment, Inc.",22422026240,97.15,0.18%,22749073000
325,ILMN,"Illumina, Inc.",22325450752,140.50,0.48%,4504000000
326,DTE,DTE Energy Company,22319632384,108.14,-0.19%,12745000000
327,STT,State Street Corporation,22298564608,73.85,0.16%,11945000000
328,TRGP,Targa Resources Corp.,22168217600,99.34,1.12%,16060300000
329,APTV,Aptiv PLC,22057797632,79.05,-0.55%,20051000000
330,ARE,"Alexandria Real Estate Equities, Inc.",21740290048,124.27,-0.37%,2885699000
331,NTAP,"NetApp, Inc.",21697124352,105.31,18.17%,6181000000
332,STLD,"Steel Dynamics, Inc.",21636417536,133.71,-0.08%,18795316000
333,ETR,Entergy Corporation,21384937472,100.47,-1.08%,12147412000
334,ROL,"Rollins, Inc.",21290940416,44.00,-0.16%,3073278000
335,WRB,W. R. Berkley Corporation,21214035968,83.49,,12142938000
336,WBD,"Warner Bros. Discovery, Inc.",21152112640,8.67,-1.37%,41321000000
337,INVH,Invitation Homes Inc.,21048295424,34.56,1.42%,2432278000
338,JBHT,"J.B. Hunt Transport Services, Inc.",21003583488,203.33,-1.44%,12829665000
339,FE,FirstEnergy Corp.,20967098368,36.50,-0.30%,12870000000
340,WDC,Western Digital Corporation,20952799232,64.30,8.12%,11257000000
341,CCL,Carnival Corporation & plc,20900478976,16.00,0.88%,21593000000
342,BAX,Baxter International Inc.,20825985024,41.01,0.22%,14813000000
343,GPC,Genuine Parts Company,20803307520,149.21,-0.03%,23090610000
344,HUBB,Hubbell Incorporated,20555497472,384.77,1.08%,5372900000
345,WAT,Waters Corporation,20460308480,346.04,2.55%,2956416000
346,DRI,"Darden Restaurants, Inc.",20453908480,171.29,0.34%,11013100000
347,STX,Seagate Technology Holdings plc,20356089856,97.20,4.46%,6471000000
348,ES,Eversource Energy,20323809280,58.41,-0.49%,11910705000
349,COO,"The Cooper Companies, Inc.",20309342208,102.19,9.18%,2734700000
350,BALL,Ball Corporation,20289466368,64.28,0.41%,14029000000
351,LUV,Southwest Airlines Co.,20262744064,33.96,-0.90%,26091000000
352,HPE,Hewlett Packard Enterprise Company,20225355776,15.57,2.20%,28081000000
353,TDY,Teledyne Technologies Incorporated,20134969344,425.00,-0.53%,5635500000
354,FLT,"FLEETCOR Technologies, Inc.",19971653632,276.60,-0.96%,3757719000
355,CBOE,"Cboe Global Markets, Inc.",19745945600,187.06,-2.57%,3773500000
356,VRSN,"VeriSign, Inc.",19698706432,195.23,-0.03%,1493100000
357,CTRA,Coterra Energy Inc.,19517945856,25.96,0.70%,5914000000
358,IFF,International Flavors & Fragrances Inc.,19370569728,75.88,0.50%,11479000000
359,PPL,PPL Corporation,19280943104,26.14,-0.87%,8312000000
360,TSN,"Tyson Foods, Inc.",18992879616,53.20,-1.92%,52940000000
361,AEE,Ameren Corporation,18992515072,71.32,0.18%,7500000000
362,VLTO,Veralto Corporation,18963253248,86.76,0.39%,5021000000
363,PFG,"Principal Financial Group, Inc.",18881234944,80.05,-1.00%,13665800000
364,CLX,The Clorox Company,18874040320,152.08,-0.80%,7310000000
365,JBL,Jabil Inc.,18772219904,147.18,2.14%,33454000000
366,HBAN,Huntington Bancshares Incorporated,18756130816,12.95,-0.69%,6958000000
367,K,Kellanova Co,18679375872,54.83,-0.58%,13122000000
368,EXPE,"Expedia Group, Inc.",18649649152,136.84,0.01%,12839000000
369,TYL,"Tyler Technologies, Inc.",18639532032,440.90,0.86%,1951751000
370,WBA,"Walgreens Boots Alliance, Inc.",18532460544,21.48,1.03%,142406000000
371,J,Jacobs Engineering Group Inc.,18422949888,146.62,-0.02%,16712971000
372,HRL,Hormel Foods Corporation,18248050688,33.37,-5.52%,12135929000
